CO,NO2,Ozone,SO2
0.43,29.94,67.24,12.84
6.17,54.56,23.91,21.14
0.3,16.4,147.99,13.01
2.03,62.37,67.27,16.76
3.97,66.83,66.53,18.96
6.65,59.68,33.63,18.03
1.16,49.29,44.81,17
1.17,44.15,50.89,15.71
33.12,97.01,19.34,14.72
17.81,56.35,29.99,15.6
1.76,39.01,49.78,21.88
2,60.77,61.18,23.17
4.18,62.04,70.21,20.29
4.18,68.84,57.15,16.71
1.79,47.37,60.33,23.86
1.89,59.64,74.96,28.28
1.84,70.97,91.78,28.93
10.84,100.26,80.37,28.45
8.12,86.8,59.77,26.76
6.29,24.79,100.48,27.77
2.43,32.15,63.3,19.83
1.02,30.15,87.85,18.77
1.05,40.61,77.05,18.35
1.02,77.88,95.69,20.5
0.96,63.85,106.41,22.58
1.54,106.08,93.41,31.77
1.78,133.68,112.53,30.21
1.31,126.67,98.71,28.61
2.03,149.45,110.16,35
9.83,140.94,78.43,36.14
1.31,91.29,78.21,38.31
1.14,64.84,69.26,45.8
5.36,74.5,49.07,32.45
10.1,26.79,94.58,32.98
3,35.69,98.65,49.17
3.31,94.26,41.91,9.74
6.06,56,24.48,4.8
1.78,80.98,73.08,11.18
10.25,84.2,60.45,12.06
1.66,33.53,89.3,11.26
2.58,77.05,41.05,10.82
1.78,44.9,50.28,10.2
2.77,69.51,55.56,15.56
2.16,47.82,66.72,12.81
1.71,64.23,59.7,13.66
1.88,72.74,98.44,24.83
2.81,85.54,45.45,13.55
1.09,59.11,52.25,14.35
0.97,83.2,126.93,22.68
0.91,78.97,57.91,18.01
8.65,88.13,57.91,13.06
2.68,69.45,63.4,16.33
1.03,65.31,53.19,14.88
1.02,47.22,75.64,13.38
14.96,87.18,54.95,12.07
7.14,88.75,28.05,10.4
6.41,59.24,57.89,10.71
32.24,145.03,25.17,6.07
1.33,19.28,90.37,7.94
2.74,102.03,19.33,8.34
1.47,26.64,100.4,16.38
1.89,46.39,69.35,12.43
1.51,25.04,17.95,9.85
1.43,29.81,10.15,7.78
1.57,30.64,19.08,8.59
1.92,48.85,13.96,7.16
1.82,55.75,12.12,5.2
2.07,64.08,36.27,5.46
3,89.93,29.04,4.98
2.08,62.44,41.97,5.81
2.96,108.33,50.45,6.92
2.68,101.05,42.45,4.43
1.93,50.65,29.83,5.12
1.94,59.87,32.08,2.44
1.84,66.61,16.69,2.72
2.09,75.6,18.72,3.96
2.32,74.94,27.58,4.36
1.88,59.13,41.83,8.64
1.8,52.84,23.83,4.55
1.36,41.48,19.14,7.43
1.57,37.16,22.04,5.1
1.91,40.85,33.09,10.84
1.64,40.13,30.55,5.38
1.77,53.05,29.26,5.69
1.59,49.92,30.06,6.07
1.75,35.43,22.5,29.72
1.39,30.37,19.38,5.22
1.57,18.15,16.72,5.87
2.02,51.72,15.96,7.5
1.78,49.95,19.77,4.88
2.22,68.35,17.67,4.04
2.59,68.99,25.11,5.23
2.08,62.04,14.32,7.21
17.17,54.1,17.55,4.58
4.63,35.94,24.48,5.5
1.69,31.81,16.71,7.05
2.27,48.56,16.11,6.2
1.48,33.78,15.65,5.75
1.5,39.75,16.32,6.47
2.57,48.71,30.09,17.54
2.17,34.08,29.2,5.39
1.96,63.72,47.69,5.89
1.33,51.23,20.38,4.73
1.1,40.42,22.44,5.13
2.29,45.51,20.92,9.02
1.1,44.13,23.75,5.84
1.22,49.75,25.01,6.85
0.98,37.79,22.83,5.13
0.76,26.07,22.25,6.29
0.79,33.19,22.27,5.04
0.99,34.36,21.21,3.9
0.92,34.38,20.29,5.65
0.84,37.76,20.25,6.04
0.94,35.4,20.97,5.95
1.08,39.19,23.94,5.77
0.97,38.33,25.53,5.46
1.12,41.54,31.07,6.14
1.19,54.42,29.55,5.79
1.56,64.88,55.74,8.07
1.23,41.26,21.84,5.97
1.41,57.1,21.24,6.17
1.61,50.85,48.74,8.69
1.85,67.48,23.33,7.7
1.16,39.09,23.94,6.67
2.23,57.43,30.09,13.49
1.17,57.11,34.15,8.77
0.99,54.79,37.75,12.96
0.99,48.97,28.46,11.05
1.14,55.89,29.76,10.27
1.19,58.31,27.36,13.19
0.67,41.38,18.34,3.37
0.49,30.33,26.44,5.96
0.66,40.09,19.77,8.01
0.99,44.31,19.25,9.3
