CO,NO2,Ozone,SO2,AQI,AQI_Level
0.43,29.94,67.24,12.84,90.984,Moderate
6.17,54.56,23.91,21.14,67.7,Moderate
0.3,16.4,147.99,13.01,245.2235106,Very Unhealthy
2.03,62.37,67.27,16.76,91.082,Moderate
3.97,66.83,66.53,18.96,88.66466667,Moderate
6.65,59.68,33.63,18.03,72.5,Moderate
1.16,49.29,44.81,17,46.5,Good
1.17,44.15,50.89,15.71,47.12037037,Good
33.12,97.01,19.34,14.72,301,Hazardous
17.81,56.35,29.99,15.6,216.3483221,Very Unhealthy
1.76,39.01,49.78,21.88,46.09259259,Good
2,60.77,61.18,23.17,71.188,Moderate
4.18,62.04,70.21,20.29,59.56434783,Moderate
4.18,68.84,57.15,16.71,66.80782609,Moderate
1.79,47.37,60.33,23.86,68.41133333,Moderate
1.89,59.64,74.96,28.28,114.86,Unhealthy for sensitive groups
1.84,70.97,91.78,28.93,165.9063158,Unhealthy
10.84,100.26,80.37,28.45,133.795,Unhealthy for sensitive groups
8.12,86.8,59.77,26.76,87.2,Moderate
6.29,24.79,100.48,27.77,188.3431579,Unhealthy
2.43,32.15,63.3,19.83,78.11333333,Moderate
1.02,30.15,87.85,18.77,155.7710526,Unhealthy
1.05,40.61,77.05,18.35,122.175,Unhealthy for sensitive groups
1.02,77.88,95.69,20.5,175.99,Unhealthy
0.96,63.85,106.41,22.58,201.4318085,Very Unhealthy
1.54,106.08,93.41,31.77,170.11,Unhealthy
1.78,133.68,112.53,30.21,207.8773404,Very Unhealthy
1.31,126.67,98.71,28.61,183.7784211,Unhealthy
2.03,149.45,110.16,35,205.3812766,Very Unhealthy
9.83,140.94,78.43,36.14,127.005,Unhealthy for sensitive groups
1.31,91.29,78.21,38.31,126.235,Unhealthy for sensitive groups
1.14,64.84,69.26,45.8,97.58266667,Moderate
5.36,74.5,49.07,32.45,72.83695652,Moderate
10.1,26.79,94.58,32.98,173.1273684,Unhealthy
3,35.69,98.65,49.17,183.6236842,Unhealthy
3.31,94.26,41.91,9.74,93.88565217,Moderate
6.06,56,24.48,4.8,66.6,Moderate
1.78,80.98,73.08,11.18,108.28,Unhealthy for sensitive groups
10.25,84.2,60.45,12.06,113.6724138,Unhealthy for sensitive groups
1.66,33.53,89.3,11.26,159.5105263,Unhealthy
2.58,77.05,41.05,10.82,75.55326087,Moderate
1.78,44.9,50.28,10.2,46.55555556,Good
2.77,69.51,55.56,15.56,67.52152174,Moderate
2.16,47.82,66.72,12.81,89.28533333,Moderate
1.71,64.23,59.7,13.66,66.35333333,Moderate
1.88,72.74,98.44,24.83,183.0821053,Unhealthy
2.81,85.54,45.45,13.55,84.59695652,Moderate
1.09,59.11,52.25,14.35,56.44326087,Moderate
0.97,83.2,126.93,22.68,223.0432979,Very Unhealthy
0.91,78.97,57.91,18.01,77.59847826,Moderate
8.65,88.13,57.91,13.06,92.5,Moderate
2.68,69.45,63.4,16.33,78.44,Moderate
1.03,65.31,53.19,14.88,63.0476087,Moderate
1.02,47.22,75.64,13.38,117.24,Unhealthy for sensitive groups
14.96,87.18,54.95,12.07,192.5655172,Unhealthy
7.14,88.75,28.05,10.4,88.01630435,Moderate
6.41,59.24,57.89,10.71,70.1,Moderate
32.24,145.03,25.17,6.07,301,Hazardous
